id,left,top,right,bottom,dummy,tile_id
11860,-110.000416,25.000416,-108.999584,23.999584,dummy,N24W110
11861,-110.000416,24.000416,-108.999584,22.999584,dummy,N23W110
11862,-110.000416,23.000416,-108.999584,21.999584,dummy,N22W110
12030,-109.000416,26.000416,-107.999584,24.999584,dummy,N25W109
12031,-109.000416,25.000416,-107.999584,23.999584,dummy,N24W109
12202,-108.000416,25.000416,-106.999584,23.999584,dummy,N24W108
12203,-108.000416,24.000416,-106.999584,22.999584,dummy,N23W108
12374,-107.000416,24.000416,-105.999584,22.999584,dummy,N23W107
12375,-107.000416,23.000416,-105.999584,21.999584,dummy,N22W107
12376,-107.000416,22.000416,-105.999584,20.999584,dummy,N21W107
12546,-106.000416,23.000416,-104.999584,21.999584,dummy,N22W106
12547,-106.000416,22.000416,-104.999584,20.999584,dummy,N21W106
12548,-106.000416,21.000416,-104.999584,19.999584,dummy,N20W106
12549,-106.000416,20.000416,-104.999584,18.999584,dummy,N19W106
12720,-105.000416,20.000416,-103.999584,18.999584,dummy,N19W105
12721,-105.000416,19.000416,-103.999584,17.999584,dummy,N18W105
12892,-104.000416,19.000416,-102.999584,17.999584,dummy,N18W104
13063,-103.000416,19.000416,-101.999584,17.999584,dummy,N18W103
13064,-103.000416,18.000416,-101.999584,16.999584,dummy,N17W103
13235,-102.000416,18.000416,-100.999584,16.999584,dummy,N17W102
13343,-101.000416,81.000416,-99.999584,79.999584,dummy,N80W101
13349,-101.000416,75.000416,-99.999584,73.999584,dummy,N74W101
13352,-101.000416,72.000416,-99.999584,70.999584,dummy,N71W101
13406,-101.000416,18.000416,-99.999584,16.999584,dummy,N17W101
13407,-101.000416,17.000416,-99.999584,15.999584,dummy,N16W101
13578,-100.000416,17.000416,-98.999584,15.999584,dummy,N16W100
13688,-99.000416,78.000416,-97.999584,76.999584,dummy,N77W099
13749,-99.000416,17.000416,-97.999584,15.999584,dummy,N16W099
13909,-98.000416,28.000416,-96.999584,26.999584,dummy,N27W098
13910,-98.000416,27.000416,-96.999584,25.999584,dummy,N26W098
13911,-98.000416,26.000416,-96.999584,24.999584,dummy,N25W098
13912,-98.000416,25.000416,-96.999584,23.999584,dummy,N24W098
13913,-98.000416,24.000416,-96.999584,22.999584,dummy,N23W098
13914,-98.000416,23.000416,-96.999584,21.999584,dummy,N22W098
13915,-98.000416,22.000416,-96.999584,20.999584,dummy,N21W098
13916,-98.000416,21.000416,-96.999584,19.999584,dummy,N20W098
13920,-98.000416,17.000416,-96.999584,15.999584,dummy,N16W098
13921,-98.000416,16.000416,-96.999584,14.999584,dummy,N15W098
14079,-97.000416,29.000416,-95.999584,27.999584,dummy,N28W097
14080,-97.000416,28.000416,-95.999584,26.999584,dummy,N27W097
14087,-97.000416,21.000416,-95.999584,19.999584,dummy,N20W097
14088,-97.000416,20.000416,-95.999584,18.999584,dummy,N19W097
14092,-97.000416,16.000416,-95.999584,14.999584,dummy,N15W097
14249,-96.000416,30.000416,-94.999584,28.999584,dummy,N29W096
14250,-96.000416,29.000416,-94.999584,27.999584,dummy,N28W096
14259,-96.000416,20.000416,-94.999584,18.999584,dummy,N19W096
14260,-96.000416,19.000416,-94.999584,17.999584,dummy,N18W096
14263,-96.000416,16.000416,-94.999584,14.999584,dummy,N15W096
14420,-95.000416,30.000416,-93.999584,28.999584,dummy,N29W095
14431,-95.000416,19.000416,-93.999584,17.999584,dummy,N18W095
14591,-94.000416,30.000416,-92.999584,28.999584,dummy,N29W094
14602,-94.000416,19.000416,-92.999584,17.999584,dummy,N18W094
14605,-94.000416,16.000416,-92.999584,14.999584,dummy,N15W094
14762,-93.000416,30.000416,-91.999584,28.999584,dummy,N29W093
14773,-93.000416,19.000416,-91.999584,17.999584,dummy,N18W093
14933,-92.000416,30.000416,-90.999584,28.999584,dummy,N29W092
